Rang	Ort	Kanton	Steuersatz
190	Grüningen	ZH	10.94
191	Hausen am Albis	ZH	10.94
192	Hochfelden	ZH	10.94
193	Illnau-Effretikon	ZH	10.94
194	Kappel am Albis	ZH	10.94
195	Knonau	ZH	10.94
196	Laufen-Uhwiesen	ZH	10.94
197	Lindau	ZH	10.94
198	Seegräben	ZH	10.94
199	Silvaplana	GR	10.96
200	Soazza	GR	10.96
201	Marthalen	ZH	10.99
202	Oberlunkhofen	AG	11.02
203	Andelfingen	ZH	11.04
204	Dürnten	ZH	11.04
205	Feuerthalen	ZH	11.04
206	Hittnau	ZH	11.04
207	Hospental	UR	11.04
208	Oetwil am See	ZH	11.04
209	Ottenbach	ZH	11.04
210	Urdorf	ZH	11.04
211	Zürich	ZH	11.04
212	Kerns	OW	11.05
213	Sorengo	TI	11.05
214	Cama	GR	11.08
215	Salenstein	TG	11.08
216	Sufers	GR	11.08
217	Bauma	ZH	11.09
218	Eglisau	ZH	11.09
219	Oberembrach	ZH	11.09
220	Schönenberg (ZH)	ZH	11.09
221	Collina d'Oro	TI	11.12
222	Cureglia	TI	11.12
223	Dalpe	TI	11.12
224	Linescio	TI	11.12
225	Manno	TI	11.12
226	Orselina	TI	11.12
227	Sant'Antonino	TI	11.12
228	Stabio	TI	11.12
229	Ermatingen	TG	11.13
230	Embrach	ZH	11.14
231	Hinwil	ZH	11.14
232	Silenen	UR	11.17
233	Adlikon	ZH	11.18
234	Dägerlen	ZH	11.18
235	Dallenwil	NW	11.18
236	Benken (ZH)	ZH	11.23
237	Gossau (ZH)	ZH	11.23
238	Hombrechtikon	ZH	11.23
239	Wetzikon (ZH)	ZH	11.23
240	Zell (ZH)	ZH	11.23
241	Bissone	TI	11.25
242	Eich	LU	11.25
243	Alpnach	OW	11.26
244	Elsau	ZH	11.28
245	Oberglatt	ZH	11.28
246	Elgg	ZH	11.33
247	Rüti (ZH)	ZH	11.33
248	Turbenthal	ZH	11.33
249	Wald (ZH)	ZH	11.33
250	Schlatt-Haslen	AI	11.34
251	Erstfeld	UR	11.35
252	Humlikon	ZH	11.38
253	Unterschächen	UR	11.38
254	Seengen	AG	11.41
255	Sisseln	AG	11.41
256	Obfelden	ZH	11.42
257	Volken	ZH	11.42
258	Wila	ZH	11.42
259	Ascona	TI	11.46
260	Greng	FR	11.46
261	S-chanf	GR	11.46
